Ayesha Living-hearted
Marjan Corals
aba father
adventure exciting_experience
altruism selfless_concern
amplify make_larger
apex highest_point
benevolent goodwill
bewilder confuse
bliss perfect_joy
bountiful abundant
butterfly colorful_insect
camaraderie trust
captivating attracting_interest
cascade waterfall
celestial sky_related
cherish hold_dear
dazzle impress_deeply
delve investigate
diligent steady_effort
divine godly
dormant temporarily_inactive
eclectic diverse_taste
elusive hard_to_find
empathy understand_feelings
enchant captivate
endeavor earnest_effort
felicity: great
frugal economical
galvanize shock_into_action
garrulous excessively_talkative
gossamer delicate
grandiose ambitious
gregarious sociable
guileless innocent
hallowed sacred
harbinger a_sign_of_something_to_come
hiatus a
homogeneous nature
hubris self_confidence
impetus: the
indelible: making
ineffable: too
invigorate give_energy
jocular characterized_by_jesting
jubilant feeling
juncture critical_point_in_time
juxtapose place_close
keen penetrating
kindred related
kinetic related_to_motion
knell sound_of_a_bell
kudos honor
labyrinth complex_maze
laconic concise
latent active
loquacious talkative
luminous bright
modicum small_quantity
mundane ordinary
myriad countless
nascent develop
nebulous unclear
nefarious villainous
nocturnal active_at_night
nonchalant feeling
nuance shade_of_meaning
obfuscate difficult_to_understand
opulent luxurious
ostentatious pretentious_display
placid calm
poignant regret
quagmire a_swampy_area
quell suppress
quip clever
quixotic idealistic
quizzical curiosity
rambunctious boisterous
rapture feeling_joy
resilient flexible
resplendent radiant
revere admiration_for
serendipity beneficial_way
serenity untroubled
sublime grandeur
succinct concise
surreptitious kept
tenacious clinging
tumultuous disorderly
ubiquitous appearing
underscore underline
unpretentious modest
usurp hold
utopia imagined_place
venerable character
vibrant pulsating_with_life
voracious wanting
watershed change_in_direction
whimsical playfully_quaint
winsome charming_way
wistful regretful_longing
xanadu exotic
xenial relating_to_hospitality
yearn desire
yonder over_there
zenith the_peak
zest great_enthusiasm
